"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
33 - NELSON PIQUET JR - Stock Car Pro
"13:07:45.763","5","1:22.669","145,012","0,0","25.541","0,0","20.536","0,0","36.592","208,8","0.550"
"13:13:52.447","6","6:06.684","32,693","0,0","25.512","0,0","20.652","","","208,8","0.550"
"13:15:22.110","7","1:29.663","133,701","","","0,0","20.732","0,0","37.050","",""
"13:16:44.669","8","1:22.559","145,205","0,0","25.511","0,0","20.484","0,0","36.564","209,2","0.549"
"13:18:10.647","9","1:25.978","139,431","0,0","25.559","0,0","20.606","0,0","39.813","209,2","0.549"
"13:22:33.641","10","4:22.994","45,583","0,0","25.532","0,0","20.570","","","208,8","0.550"
"13:24:10.968","11","1:37.327","123,172","","","0,0","24.941","0,0","38.817","",""
"13:25:36.403","12","1:25.435","140,317","0,0","27.477","0,0","20.964","0,0","36.994","173,0","0.664"
"13:26:57.976","13","1:21.573","146,960","0,0","25.302","0,0","20.177","0,0","36.094","208,4","0.551"
"13:28:19.370","14","1:21.394","147,284","0,0","25.229","0,0","20.161","0,0","36.004","209,6","0.548"
73 - ENZO ELIAS - Stock Car Pro
"13:37:06.320","1","1:35.418","125,637","","","0,0","22.200","0,0","39.601","",""
"13:38:30.282","2","1:23.962","142,779","0,0","26.187","0,0","20.853","0,0","36.922","203,6","0.564"
"13:39:53.732","3","1:23.450","143,655","0,0","25.920","0,0","20.667","0,0","36.863","205,1","0.560"
"13:41:19.771","4","1:26.039","139,332","0,0","26.652","0,0","22.240","0,0","37.147","205,4","0.559"
"13:42:42.511","5","1:22.740","144,888","0,0","25.579","0,0","20.557","0,0","36.604","206,5","0.556"
"13:44:05.333","6","1:22.822","144,744","0,0","25.579","0,0","20.537","0,0","36.706","206,2","0.557"
"13:51:38.905","7","7:33.572","26,430","0,0","25.655","0,0","20.549","","","206,2","0.557"
"13:53:09.283","8","1:30.378","132,643","","","0,0","21.673","0,0","36.957","",""
"13:54:32.296","9","1:23.013","144,411","0,0","25.606","0,0","20.660","0,0","36.747","205,8","0.558"
"13:58:48.610","10","4:16.314","46,771","0,0","25.861","0,0","20.604","","","206,2","0.557"
"14:00:19.736","11","1:31.126","131,554","","","0,0","21.581","0,0","37.563","",""
"14:01:43.590","12","1:23.854","142,963","0,0","26.195","0,0","20.756","0,0","36.903","204,7","0.561"
"14:03:04.999","13","1:21.409","147,256","0,0","25.294","0,0","20.122","0,0","35.993","206,9","0.555"
"14:04:26.780","14","1:21.781","146,587","0,0","25.250","0,0","20.275","0,0","36.256","206,9","0.555"
"14:05:48.508","15","1:21.728","146,682","0,0","25.297","0,0","20.181","0,0","36.250","206,9","0.555"
18 - ALLAM KHODAIR - Stock Car Pro
"13:37:48.511","1","1:42.375","117,099","","","0,0","25.857","0,0","42.254","",""
"13:39:23.962","2","1:35.451","125,593","0,0","29.407","0,0","23.951","0,0","42.093","174,0","0.660"
"13:40:54.136","3","1:30.174","132,943","0,0","27.707","0,0","23.375","0,0","39.092","183,5","0.626"
"13:42:22.039","4","1:27.903","136,378","0,0","28.025","0,0","22.682","0,0","37.196","160,2","0.717"
"13:43:45.298","5","1:23.259","143,984","0,0","25.668","0,0","20.796","0,0","36.795","207,7","0.553"
"13:50:05.831","6","6:20.533","31,503","0,0","25.836","0,0","20.734","","","207,3","0.554"
"13:51:36.146","7","1:30.315","132,735","","","0,0","21.400","0,0","37.072","",""
"13:53:03.162","8","1:27.016","137,768","0,0","28.104","0,0","21.551","0,0","37.361","206,9","0.555"
"13:54:26.259","9","1:23.097","144,265","0,0","25.636","0,0","20.549","0,0","36.912","207,7","0.553"
"13:58:59.196","10","4:32.937","43,922","0,0","25.624","0,0","20.613","","","207,7","0.553"
"14:00:30.312","11","1:31.116","131,569","","","0,0","22.275","0,0","37.964","",""
"14:01:55.923","12","1:25.611","140,029","0,0","25.870","0,0","20.985","0,0","38.756","207,3","0.554"
"14:03:17.508","13","1:21.585","146,939","0,0","25.134","0,0","20.299","0,0","36.152","208,8","0.550"
