"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
73 - ENZO ELIAS - Stock Car Pro
"10:47:28.335","13","13","1:22.575","145,177","0,0","25.601","0,0","20.465","0,0","36.509","206,2","0.557"
"10:48:50.722","14","14","1:22.387","145,508","0,0","25.563","0,0","20.438","0,0","36.386","206,9","0.555"
"10:50:13.338","15","15","1:22.616","145,105","0,0","25.641","0,0","20.515","0,0","36.460","207,3","0.554"
"10:51:35.797","16","16","1:22.459","145,381","0,0","25.647","0,0","20.425","0,0","36.387","206,9","0.555"
"10:52:58.292","17","17","1:22.495","145,318","0,0","25.639","0,0","20.417","0,0","36.439","207,3","0.554"
"10:54:20.753","18","18","1:22.461","145,378","0,0","25.627","0,0","20.435","0,0","36.399","207,7","0.553"
"10:55:43.123","19","19","1:22.370","145,538","0,0","25.608","0,0","20.389","0,0","36.373","208,0","0.552"
"10:57:05.748","20","20","1:22.625","145,089","0,0","25.626","0,0","20.486","0,0","36.513","208,4","0.551"
"10:58:28.265","21","21","1:22.517","145,279","0,0","25.597","0,0","20.414","0,0","36.506","208,0","0.552"
"10:59:50.835","22","22","1:22.570","145,186","0,0","25.619","0,0","20.453","0,0","36.498","208,8","0.550"
"11:01:13.982","23","23","1:23.147","144,178","0,0","25.732","0,0","20.686","0,0","36.729","209,2","0.549"
81 - ARTHUR LEIST - Stock Car Pro
"10:30:21.230","1","1","1:29.587","133,814","0,0","30.299","0,0","21.972","0,0","37.316","150,1","0.765"
"10:31:44.861","2","2","1:23.631","143,344","0,0","26.278","0,0","20.729","0,0","36.624","205,1","0.560"
"10:33:07.652","3","3","1:22.791","144,798","0,0","25.704","0,0","20.477","0,0","36.610","205,1","0.560"
"10:34:30.221","4","4","1:22.569","145,188","0,0","25.597","0,0","20.449","0,0","36.523","205,1","0.560"
"10:35:52.771","5","5","1:22.550","145,221","0,0","25.555","0,0","20.461","0,0","36.534","205,4","0.559"
"10:37:15.521","6","6","1:22.750","144,870","0,0","25.558","0,0","20.528","0,0","36.664","205,4","0.559"
"10:38:38.237","7","7","1:22.716","144,930","0,0","25.715","0,0","20.411","0,0","36.590","205,4","0.559"
"10:40:00.842","8","8","1:22.605","145,124","0,0","25.609","0,0","20.371","0,0","36.625","205,8","0.558"
"10:41:55.171","9","9","1:54.329","104,855","0,0","25.562","0,0","20.423","","","205,4","0.559"
"10:43:21.249","10","10","1:26.078","139,269","","","0,0","20.454","0,0","36.430","",""
"10:44:44.247","11","11","1:22.998","144,437","0,0","25.861","0,0","20.524","0,0","36.613","205,1","0.560"
"10:46:06.879","12","12","1:22.632","145,077","0,0","25.626","0,0","20.432","0,0","36.574","205,4","0.559"
"10:47:29.612","13","13","1:22.733","144,900","0,0","25.624","0,0","20.499","0,0","36.610","204,7","0.561"
"10:48:52.304","14","14","1:22.692","144,972","0,0","25.618","0,0","20.470","0,0","36.604","205,4","0.559"
"10:50:14.952","15","15","1:22.648","145,049","0,0","25.576","0,0","20.471","0,0","36.601","205,4","0.559"
